0,2.71828,2.59632
0.01,2.77347,1.68665
0.02,2.83035,3.51464
0.03,2.88897,1.81378
0.04,2.94939,2.98266
0.05,3.01169,3.75652
0.06,3.07591,3.10951
0.07,3.14213,2.61549
0.08,3.21041,3.67295
0.09,3.28084,3.48154
0.1,3.35348,5.47816
0.11,3.42842,3.80014
0.12,3.50573,4.5267
0.13,3.58551,4.36892
0.14,3.66783,3.53999
0.15,3.75279,3.41598
0.16,3.84049,3.15334
0.17,3.93102,5.23945
0.18,4.0245,3.08866
0.19,4.12102,1.44865
0.2,4.2207,3.44796
0.21,4.32365,3.80208
0.22,4.43,2.41471
0.23,4.53988,4.59025
0.24,4.65341,3.75878
0.25,4.77073,4.75757
0.26,4.89199,4.70731
0.27,5.01734,4.33789
0.28,5.14693,5.07319
0.29,5.28092,6.13916
0.3,5.41948,5.79639
0.31,5.56279,4.81352
0.32,5.71103,7.11334
0.33,5.8644,6.6703
0.34,6.02309,5.68786
0.35,6.18731,6.85988
0.36,6.35728,7.5688
0.37,6.53322,6.5797
0.38,6.71538,6.43026
0.39,6.90399,8.05486
0.4,7.09933,5.78505
0.41,7.30165,7.17057
0.42,7.51124,7.04028
0.43,7.72839,7.80066
0.44,7.9534,9.62667
0.45,8.18661,8.17637
0.46,8.42834,8.02273
0.47,8.67895,8.36369
0.48,8.93879,8.33183
0.49,9.20825,7.61193
0.5,9.48774,8.49961
0.51,9.77766,10.5748
0.52,10.0785,11.1832
0.53,10.3906,9.06501
0.54,10.7145,9.74277
0.55,11.0508,12.6203
0.56,11.3998,11.5586
0.57,11.7623,11.6004
0.58,12.1387,13.5569
0.59,12.5297,10.536
0.6,12.9358,13.5038
0.61,13.3578,13.3436
0.62,13.7963,14.3119
0.63,14.252,13.0545
0.64,14.7258,15.8425
0.65,15.2183,15.7757
0.66,15.7305,14.2948
0.67,16.2631,16.1491
0.68,16.8172,17.7582
0.69,17.3936,17.1747
0.7,17.9933,17.5754
0.71,18.6175,17.5691
0.72,19.2671,19.1323
0.73,19.9434,18.8425
0.74,20.6476,21.3937
0.75,21.3809,21.2985
0.76,22.1447,22.2406
0.77,22.9404,22.8737
0.78,23.7694,23.7883
0.79,24.6333,25.7751
0.8,25.5337,25.3759
0.81,26.4723,27.8
0.82,27.4509,28.5531
0.83,28.4714,28.922
0.84,29.5357,29.6683
0.85,30.6459,30.7049
0.86,31.8043,31.9312
0.87,33.013,31.1605
0.88,34.2744,35.265
0.89,35.5913,35.3651
0.9,36.9661,37.8961
0.91,38.4016,39.3925
0.92,39.9009,39.159
0.93,41.4671,41.5097
0.94,43.1033,45.1081
0.95,44.8131,44.6913
0.96,46.6,47.3758
0.97,48.4678,45.6112
0.98,50.4206,51.7659
0.99,52.4626,52.1981
